1;1;1
1;2;0.8
1;3;0.7
1;4;0.65
1;5;0.6
1;6;0.57
1;7;0.54
1;8;0.52
1;9;0.5
1;10;0.5
1;11;0.5
1;12;0.45
1;13;0.45
1;14;0.45
1;15;0.45
1;16;0.41
1;17;0.41
1;18;0.41
1;19;0.41
1;20;0.38
2;1;1
2;2;0.8
2;3;0.7
2;4;0.65
2;5;0.6
2;6;0.57
2;7;0.54
2;8;0.52
2;9;0.5
2;10;0.5
2;11;0.5
2;12;0.45
2;13;0.45
2;14;0.45
2;15;0.45
2;16;0.41
2;17;0.41
2;18;0.41
2;19;0.41
2;20;0.38
3;1;1
3;2;0.8
3;3;0.7
3;4;0.65
3;5;0.6
3;6;0.57
3;7;0.54
3;8;0.52
3;9;0.5
3;10;0.5
3;11;0.5
3;12;0.45
3;13;0.45
3;14;0.45
3;15;0.45
3;16;0.41
3;17;0.41
3;18;0.41
3;19;0.41
3;20;0.38
4;1;1
4;2;0.8
4;3;0.7
4;4;0.65
4;5;0.6
4;6;0.57
4;7;0.54
4;8;0.52
4;9;0.5
4;10;0.5
4;11;0.5
4;12;0.45
4;13;0.45
4;14;0.45
4;15;0.45
4;16;0.41
4;17;0.41
4;18;0.41
4;19;0.41
4;20;0.38
5;1;1
5;2;0.8
5;3;0.7
5;4;0.65
5;5;0.6
5;6;0.57
5;7;0.54
5;8;0.52
5;9;0.5
5;10;0.5
5;11;0.5
5;12;0.45
5;13;0.45
5;14;0.45
5;15;0.45
5;16;0.41
5;17;0.41
5;18;0.41
5;19;0.41
5;20;0.38
6;1;1
6;2;0.8
6;3;0.7
6;4;0.65
6;5;0.6
6;6;0.57
6;7;0.54
6;8;0.52
6;9;0.5
6;10;0.5
6;11;0.5
6;12;0.45
6;13;0.45
6;14;0.45
6;15;0.45
6;16;0.41
6;17;0.41
6;18;0.41
6;19;0.41
6;20;0.38
7;1;1
7;2;0.8
7;3;0.7
7;4;0.65
7;5;0.6
7;6;0.57
7;7;0.54
7;8;0.52
7;9;0.5
7;10;0.5
7;11;0.5
7;12;0.45
7;13;0.45
7;14;0.45
7;15;0.45
7;16;0.41
7;17;0.41
7;18;0.41
7;19;0.41
7;20;0.38
8;1;1
8;2;0.8
8;3;0.7
8;4;0.65
8;5;0.6
8;6;0.57
8;7;0.54
8;8;0.52
8;9;0.5
8;10;0.5
8;11;0.5
8;12;0.45
8;13;0.45
8;14;0.45
8;15;0.45
8;16;0.41
8;17;0.41
8;18;0.41
8;19;0.41
8;20;0.38
9;1;1
9;2;0.85
9;3;0.79
9;4;0.75
9;5;0.73
9;6;0.72
9;7;0.72
9;8;0.71
9;9;0.7
9;10;0.7
9;11;0.7
9;12;0.7
9;13;0.7
9;14;0.7
9;15;0.7
9;16;0.7
9;17;0.7
9;18;0.7
9;19;0.7
9;20;0.7
10;1;0.95
10;2;0.81
10;3;0.72
10;4;0.68
10;5;0.66
10;6;0.64
10;7;0.63
10;8;0.62
10;9;0.61
10;10;0.61
10;11;0.61
10;12;0.61
10;13;0.61
10;14;0.61
10;15;0.61
10;16;0.61
10;17;0.61
10;18;0.61
10;19;0.61
10;20;0.61
11;1;1
11;2;0.88
11;3;0.82
11;4;0.77
11;5;0.75
11;6;0.73
11;7;0.73
11;8;0.72
11;9;0.72
11;10;0.72
11;11;0.72
11;12;0.72
11;13;0.72
11;14;0.72
11;15;0.72
11;16;0.72
11;17;0.72
11;18;0.72
11;19;0.72
11;20;0.72
12;1;1
12;2;0.88
12;3;0.82
12;4;0.77
12;5;0.75
12;6;0.73
12;7;0.73
12;8;0.72
12;9;0.72
12;10;0.72
12;11;0.72
12;12;0.72
12;13;0.72
12;14;0.72
12;15;0.72
12;16;0.72
12;17;0.72
12;18;0.72
12;19;0.72
12;20;0.72
13;1;1
13;2;0.87
13;3;0.82
13;4;0.8
13;5;0.8
13;6;0.79
13;7;0.79
13;8;0.78
13;9;0.78
13;10;0.78
13;11;0.78
13;12;0.78
13;13;0.78
13;14;0.78
13;15;0.78
13;16;0.78
13;17;0.78
13;18;0.78
13;19;0.78
13;20;0.78
14;1;1
14;2;0.87
14;3;0.82
14;4;0.8
14;5;0.8
14;6;0.79
14;7;0.79
14;8;0.78
14;9;0.78
14;10;0.78
14;11;0.78
14;12;0.78
14;13;0.78
14;14;0.78
14;15;0.78
14;16;0.78
14;17;0.78
14;18;0.78
14;19;0.78
14;20;0.78
