"Policloreto de vinila (PVC) até 300mm²";70;100;160
"Policloreto de vinila (PVC) maior que 300mm²";70;100;140
"Borracha etileno-propileno (EPR)";90;130;250
"Polietileno reticulado (XLPE)";90;130;250
